Sted	Fosfor
Blekinge	46.6
Blekinge	13.312
Blekinge	7.245
Blekinge	19
Blekinge	13.4
Blekinge	8
Blekinge	6.6
Blekinge	8
Blekinge	13.4
Blekinge	8.49
Blekinge	22
Blekinge	10.1
Smaaland	142.528
Smaaland	116.444
Smaaland	39.256
Smaaland	49.833
Smaaland	24.3
Smaaland	21
Smaaland	27.1
Smaaland	32.292
Smaaland	27.9
Smaaland	24.6
Smaaland	20.75
Smaaland	11.338
Smaaland	24
Smaaland	20.7
Smaaland	46.8
Smaaland	35.42
Smaaland	20.2
Smaaland	17
Smaaland	13.301
Smaaland	15
Smaaland	9.1
Smaaland	16.3
Smaaland	16
Smaaland	1.9
Smaaland	7.6
Smaaland	39.5
Smaaland	16.8
Smaaland	18.565
Smaaland	28.085
Smaaland	27.1
Smaaland	17.3
Smaaland	15.09
Smaaland	4.91
Smaaland	8.157
Smaaland	20.4
Smaaland	14.4
Smaaland	15.85
Smaaland	67.5
Smaaland	29
Smaaland	20.9
Smaaland	11.8
Smaaland	13
Smaaland	17
Smaaland	11.4
Smaaland	12
Smaaland	7.047
Smaaland	24
Smaaland	17
Smaaland	15.15
Smaaland	22.2
Smaaland	11
Smaaland	11.135
Smaaland	14.1
Smaaland	36
Smaaland	9
Smaaland	23
Smaaland	24
Smaaland	31.3
Smaaland	14.387
Smaaland	165
Smaaland	11.2
Smaaland	14.5
Smaaland	21
Smaaland	1.3
Smaaland	20
Smaaland	4.2
Smaaland	20.472
Smaaland	15.9
Smaaland	19.9
Smaaland	24.5
Smaaland	13
Smaaland	21.135
Smaaland	40.3
Smaaland	14.9
Smaaland	29.5
Smaaland	20.633
Smaaland	39.571
Smaaland	38.571
Smaaland	35.5
Smaaland	23.3
Smaaland	6.5
Smaaland	19.7
Smaaland	11
Smaaland	28.2
Smaaland	4.586
Smaaland	17.4
Smaaland	10.1
Smaaland	10.2
Smaaland	18.925
Smaaland	31.15
Smaaland	61.2
Smaaland	22
Smaaland	18.815
Smaaland	13.945
Smaaland	32
Smaaland	10.2
Smaaland	15.5
Smaaland	19
Smaaland	14.1
Smaaland	21
Smaaland	19.5
Smaaland	21.8
Smaaland	14.844
Smaaland	17
Smaaland	15.5
Smaaland	38
Smaaland	15.6
Smaaland	102
Smaaland	47
Smaaland	23.77
Smaaland	10
Smaaland	21
Smaaland	16.7
Smaaland	14.5
Smaaland	24.8
Smaaland	11.8
Smaaland	16.7
Smaaland	8
Smaaland	23.71
Smaaland	18.747
Smaaland	22.1
Smaaland	9.74
Smaaland	14
Smaaland	12
Smaaland	7
Smaaland	19.5
Smaaland	17
Smaaland	13.6
Smaaland	26
Smaaland	9
Smaaland	16
Smaaland	9
Smaaland	15.3
Smaaland	8
Smaaland	2.125
Smaaland	12.9
Smaaland	4.3
Smaaland	7
Smaaland	8.745
Smaaland	18.25
Smaaland	11.2
Smaaland	26
Smaaland	16.4
Smaaland	8
Smaaland	7.074
Smaaland	27
Smaaland	28
Smaaland	15.2
Smaaland	29
Smaaland	11
Smaaland	45
Smaaland	31
Smaaland	9.057
Smaaland	27
Smaaland	19
Smaaland	20
Smaaland	16
Smaaland	49.678
Smaaland	8.48
Smaaland	8.937
Smaaland	13.8
Smaaland	18.1
Smaaland	17
Smaaland	14
Smaaland	43
Smaaland	7.2
Smaaland	39
Smaaland	29.5
Smaaland	12.2
Smaaland	28.4
Smaaland	8
Smaaland	11
Smaaland	23.4
Smaaland	21.9
Smaaland	146.5
Smaaland	188.5
Smaaland	47
Smaaland	17.1
Smaaland	28.8
Smaaland	46.4
Smaaland	8
Smaaland	12.6
Smaaland	12.8
Smaaland	19.9
Smaaland	30
Smaaland	15.7
Smaaland	8.7
Smaaland	8.15
Smaaland	19
Smaaland	12.4
Smaaland	11.167
Smaaland	10
Smaaland	13.837
Smaaland	24
Smaaland	11.35
Smaaland	27.279
Smaaland	24.7
Smaaland	23.2
Smaaland	8.5
Smaaland	14
Smaaland	20
Smaaland	7.6
Smaaland	15
Smaaland	10.9
Smaaland	8.4
Smaaland	6.625
Smaaland	17.6
Smaaland	9.5
Smaaland	13
Smaaland	10
Smaaland	36.7
Smaaland	6.725
Smaaland	28.9
Smaaland	7.5
Smaaland	11
Smaaland	14
Smaaland	16.6
Smaaland	17.8
Smaaland	70.6
Smaaland	33.9
Smaaland	56.2
